-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11:34 - 11:49,17,11,28,9,7,1,0,7,3,0,1,16,10,1,1
11:49 - 12:04,9,12,21,7,2,0,0,8,4,0,0,15,6,0,0
12:04 - 12:19,14,7,21,11,3,0,0,4,3,0,0,15,6,0,0
12:19 - 12:34,15,5,20,9,6,0,0,3,2,0,0,12,8,0,0
12:34 - 12:49,10,16,26,3,7,0,0,10,6,0,0,13,13,0,0
12:49 - 13:04,10,15,25,8,2,0,0,12,3,0,0,20,5,0,0
13:04 - 13:19,15,12,27,11,4,0,0,10,1,1,0,21,5,1,0
13:19 - 13:34,24,15,39,17,6,0,1,9,6,0,0,26,12,0,1
13:34 - 13:49,12,8,20,4,8,0,0,7,0,1,0,11,8,1,0
13:49 - 14:04,7,7,14,2,4,0,1,3,4,0,0,5,8,0,1
14:04 - 14:19,13,11,24,8,5,0,0,8,3,0,0,16,8,0,0
14:19 - 14:34,18,7,25,13,5,0,0,6,1,0,0,19,6,0,0
14:34 - 14:49,13,6,19,7,6,0,0,2,4,0,0,9,10,0,0
